,ticker,Date,Time,ltp,buy_price,BuyQty,sell_price,SellQty,LTQ,OpenInterest,underlying,strike,call_put,expiry_date,timestamp
678080,NIFTY27MAY2115100PE.NFO,17/05/2021,10:51:52,326.25,325.6,75,326.75,75,0,82350,NIFTY,15100.0,PE,2021-05-27 00:00:00,2021-05-17 10:51:52
457735,NIFTY27MAY2115200CE.NFO,17/05/2021,12:41:15,51.1,51.15,1200,51.4,750,300,1214025,NIFTY,15200.0,CE,2021-05-27 00:00:00,2021-05-17 12:41:15
1785734,NIFTY20MAY2115150CE.NFO,17/05/2021,12:22:36,9.65,9.5,2925,9.6,6150,0,1092225,NIFTY,15150.0,CE,2021-05-20 00:00:00,2021-05-17 12:22:36
960038,NIFTY20MAY2114100PE.NFO,17/05/2021,11:03:44,4.4,4.4,6975,4.45,1725,300,1190775,NIFTY,14100.0,PE,2021-05-20 00:00:00,2021-05-17 11:03:44
1509669,NIFTY27MAY2115150CE.NFO,17/05/2021,14:55:13,79.0,79.45,75,79.7,225,0,102675,NIFTY,15150.0,CE,2021-05-27 00:00:00,2021-05-17 14:55:13
2217243,NIFTY27MAY2114150CE.NFO,17/05/2021,10:46:34,668.35,717.15,75,725.5,75,0,5775,NIFTY,14150.0,CE,2021-05-27 00:00:00,2021-05-17 10:46:34
121750,NIFTY20MAY2114400PE.NFO,17/05/2021,15:04:35,9.75,9.7,300,9.75,75,75,2140050,NIFTY,14400.0,PE,2021-05-20 00:00:00,2021-05-17 15:04:35
2703049,NIFTY20MAY2115300CE.NFO,17/05/2021,12:36:58,3.3,3.3,9300,3.35,13800,225,2102325,NIFTY,15300.0,CE,2021-05-20 00:00:00,2021-05-17 12:36:58
43068,NIFTY27MAY2114450PE.NFO,17/05/2021,14:51:45,51.5,51.1,150,51.4,75,0,93375,NIFTY,14450.0,PE,2021-05-27 00:00:00,2021-05-17 14:51:45
1351172,NIFTY30DEC2115000CE.NFO,17/05/2021,12:13:25,900.0,897.5,75,902.6,75,0,269325,NIFTY,15000.0,CE,2021-12-30 00:00:00,2021-05-17 12:13:25
